"_Outcome","_Years","_ZIP","Age group","Age-adjusted rate per 10,000","Note","ZCTA5CE20","CLASSFP20","MTFCC20","FUNCSTAT20","ALAND20","AWATER20","INTPTLAT20","INTPTLON20","value_cat","X","NAME","total_popE","total_popM","whiteE","whiteM","blackE","blackM","asianE","asianM","hispanicE","hispanicM","povertyE","povertyM","median_incomeE","median_incomeM","num_plants","near_plant"
"ED visits","2017-2021",55437,"All ages",21,NA,"55437","B5","G6350","S",17447703,1168950,"+44.8241171","-093.3422250","15-30",19027,"ZCTA5 55437",19051,1075,15334,1075,1667,587,1066,410,797,499,824,272,88186,4388,NA,FALSE
"ED visits","2017-2021",55116,"All ages",21.5,NA,"55116","B5","G6350","S",14323785,1282690,"+44.9107187","-093.1695814","15-30",18888,"ZCTA5 55116",26533,1327,19486,1075,3814,891,1058,424,985,361,2464,742,70036,7032,1,TRUE
"ED visits","2017-2021",55369,"All ages",21.5,NA,"55369","B5","G6350","S",64110180,4626525,"+45.1273655","-093.4492002","15-30",18967,"ZCTA5 55369",37592,1541,31008,1419,2344,720,1654,379,2137,545,1562,679,101162,4323,1,TRUE
"ED visits","2017-2021",55338,"All ages",21.8,"Unstable rate due to small case count","55338","B5","G6350","S",105601652,3942131,"+44.6747884","-094.0006690","15-30",18940,"ZCTA5 55338",1106,148,1041,149,15,11,2,3,54,40,40,20,70417,12770,NA,FALSE
"ED visits","2017-2021",55124,"All ages",22.6,NA,"55124","B5","G6350","S",43678473,1757901,"+44.7453010","-093.1994128","15-30",18896,"ZCTA5 55124",55237,92,40872,1288,5466,956,3295,561,3889,959,2582,663,91936,2909,1,TRUE
"ED visits","2017-2021",55434,"All ages",22.6,NA,"55434","B5","G6350","S",23109337,593884,"+45.1636720","-093.2504454","15-30",19024,"ZCTA5 55434",33096,1419,23994,1227,3613,1147,2976,674,1641,526,2347,570,79855,6102,NA,FALSE
"ED visits","2017-2021",55112,"All ages",23,NA,"55112","B5","G6350","S",45229615,4228276,"+45.0805144","-093.1920604","15-30",18884,"ZCTA5 55112",46403,83,34403,1185,4616,889,3092,630,3164,632,4401,972,82197,4108,1,TRUE
"ED visits","2017-2021",55122,"All ages",23,NA,"55122","B5","G6350","S",27885242,1215508,"+44.8009722","-093.1954453","15-30",18894,"ZCTA5 55122",32019,1124,22728,998,4283,767,2988,592,1645,437,2347,706,83602,5362,1,TRUE
"ED visits","2017-2021",55448,"All ages",24.5,NA,"55448","B5","G6350","S",28040093,439596,"+45.1936028","-093.3004455","15-30",19037,"ZCTA5 55448",29029,1170,22858,1121,2954,610,1414,391,1134,507,1565,440,84572,3690,NA,FALSE
"ED visits","2017-2021",55071,"All ages",24.6,NA,"55071","B5","G6350","S",12945288,2833652,"+44.8213620","-092.9983800","15-30",18856,"ZCTA5 55071",5739,90,4474,384,143,207,342,149,816,441,243,159,85222,7702,NA,FALSE
"ED visits","2017-2021",55108,"All ages",24.6,NA,"55108","B5","G6350","S",10351263,51998,"+44.9823216","-093.1746569","15-30",18880,"ZCTA5 55108",15334,1075,12094,920,855,339,1478,304,749,311,1558,428,78708,5452,1,TRUE
"ED visits","2017-2021",55085,"All ages",25,"Unstable rate due to small case count","55085","B5","G6350","S",2381905,20375,"+44.6696915","-092.9634257","15-30",18867,"ZCTA5 55085",450,80,440,81,0,9,4,8,11,16,23,15,89167,16634,NA,FALSE
"ED visits","2017-2021",55303,"All ages",25.3,NA,"55303","B5","G6350","S",166699538,6750488,"+45.2884119","-093.4315290","15-30",18907,"ZCTA5 55303",51398,559,44513,1058,2984,702,1172,334,1673,544,2657,482,92205,4552,1,TRUE
"ED visits","2017-2021",55395,"All ages",25.6,NA,"55395","B5","G6350","S",61930169,2703432,"+44.9577970","-094.0634075","15-30",18987,"ZCTA5 55395",2555,285,2465,286,11,17,7,10,152,154,300,140,63603,13778,NA,FALSE
"ED visits","2017-2021",55025,"All ages",26.3,NA,"55025","B5","G6350","S",199572638,20949322,"+45.2603519","-093.0165287","15-30",18822,"ZCTA5 55025",25428,597,22402,788,613,448,801,465,1033,383,1093,307,92675,6299,NA,FALSE
"ED visits","2017-2021",55431,"All ages",26.5,NA,"55431","B5","G6350","S",20267417,582805,"+44.8245343","-093.3126020","15-30",19021,"ZCTA5 55431",19501,1196,15430,1004,899,354,1164,383,897,286,881,251,96486,4807,1,TRUE
"ED visits","2017-2021",55113,"All ages",26.8,NA,"55113","B5","G6350","S",38448498,2169985,"+45.0121956","-093.1511859","15-30",18885,"ZCTA5 55113",41798,492,31369,903,2936,453,3587,729,1954,427,3038,593,78262,4529,1,TRUE
"ED visits","2017-2021",55435,"All ages",26.8,NA,"55435","B5","G6350","S",7701144,352687,"+44.8739807","-093.3352547","15-30",19025,"ZCTA5 55435",13753,930,10581,793,770,326,1500,432,868,566,1408,565,68511,7703,NA,FALSE
"ED visits","2017-2021",55441,"All ages",27.6,NA,"55441","B5","G6350","S",22222945,4029020,"+45.0084251","-093.4307178","15-30",19030,"ZCTA5 55441",18242,1102,14056,961,1643,553,831,315,1393,730,1362,709,90456,9270,NA,FALSE
"ED visits","2017-2021",55426,"All ages",28.5,NA,"55426","B5","G6350","S",17153633,498441,"+44.9565663","-093.3816539","15-30",19016,"ZCTA5 55426",25711,891,20171,982,1710,437,1699,552,1160,353,1828,529,84911,4320,1,TRUE
"ED visits","2017-2021",55092,"All ages",28.6,NA,"55092","B5","G6350","S",87089386,10065868,"+45.3340536","-093.0998842","15-30",18872,"ZCTA5 55092",11195,827,10923,845,35,53,63,275,51,46,513,303,86648,6030,1,TRUE
"ED visits","2017-2021",NA,"All ages",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ED visits","2017-2021",55417,"All ages",29.1,NA,"55417","B5","G6350","S",11442934,1031370,"+44.9061170","-093.2353872","15-30",19007,"ZCTA5 55417",25610,1388,21653,1342,1395,420,435,179,1267,429,1529,412,107586,4860,NA,FALSE
"ED visits","2017-2021",55425,"All ages",29.5,NA,"55425","B5","G6350","S",11750179,5619257,"+44.8511691","-093.2260805","15-30",19015,"ZCTA5 55425",11002,1122,5187,637,2051,846,829,341,2955,783,1310,412,64205,5848,NA,FALSE
"ED visits","2017-2021",55128,"All ages",30.1,NA,"55128","B5","G6350","S",29083564,1015612,"+44.9875455","-092.9635530","30-45",18900,"ZCTA5 55128",28766,231,19648,908,3628,718,3106,560,1519,409,1802,457,77327,5847,1,TRUE
"ED visits","2017-2021",55368,"All ages",30.5,NA,"55368","B5","G6350","S",88511777,2200285,"+44.7400632","-093.8997466","30-45",18966,"ZCTA5 55368",1829,322,1783,305,6,23,3,4,10,15,93,84,74907,7617,NA,FALSE
