county,fips,year,ozonePersonDayMon,ozoneDayStdMon,ozoneDayStdMod,ozoneAvgMod,ozoneModelFlag,pm25AvgMon,pm25PersonDayMon,pm25PctMon,pm25AvgMod,pm25ModelFlag,hasMonitor,hasOzoneMonitor,hasPm25Monitor,
"Big Stone","27011","2004","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.3","1","n","n","n"
"Big Stone","27011","2005","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.6","1","n","n","n"
"Big Stone","27011","2006","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.8","1","n","n","n"
"Big Stone","27011","2007","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.1","1","n","n","n"
"Big Stone","27011","2008","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.9","1","n","n","n"
"Big Stone","27011","2009","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.9","1","n","n","n"
"Big Stone","27011","2010","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.8","1","n","n","n"
"Big Stone","27011","2011","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.1","1","n","n","n"
"Big Stone","27011","2012","No data available","No data available","0","37.05","1","No data available","No data available","No data available","8.58","1","n","n","n"
"Big Stone","27011","2013","No data available","No data available","null","41.84","0","No data available","No data available","No data available","7.54","0","n","n","n"
"Big Stone","27011","2014","No data available","No data available","null","35.00","0","No data available","No data available","No data available","5.78","0","n","n","n"
"Big Stone","27011","2015","No data available","No data available","null","35","null","No data available","No data available","No data available","8.58","0","n","n","n"
"Big Stone","27011","2016","No data available","No data available","null","34","null","No data available","No data available","No data available","6.5","null","n","n","n"
"Big Stone","27011","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.4","null","n","n","n"
"Blue Earth","27013","2001","No data available","No data available","1","No data available","1","No data available","No data available","No data available","11.3","1","n","n","n"
"Blue Earth","27013","2002","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.9","1","n","n","n"
"Blue Earth","27013","2003","No data available","No data available","0","No data available","1","No data available","No data available","No data available","11","1","n","n","n"
"Blue Earth","27013","2004","No data available","No data available","0","No data available","1","No data available","No data available","No data available","10.3","1","n","n","n"
"Blue Earth","27013","2005","No data available","No data available","1","No data available","1","No data available","No data available","No data available","11.2","1","n","n","n"
"Blue Earth","27013","2006","No data available","No data available","0","No data available","1","No data available","No data available","No data available","10.2","1","n","n","n"
"Blue Earth","27013","2007","No data available","No data available","1","No data available","1","No data available","No data available","No data available","10.9","1","n","n","n"
"Blue Earth","27013","2008","No data available","No data available","0","No data available","1","No data available","No data available","No data available","10.4","1","n","n","n"
"Blue Earth","27013","2009","No data available","No data available","0","No data available","1","No data available","No data available","No data available","10.1","1","n","n","n"
"Blue Earth","27013","2010","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.8","1","n","n","n"
"Blue Earth","27013","2011","No data available","No data available","0","No data available","1","No data available","No data available","No data available","9.9","1","n","n","n"
