statecounty,county,Year,Pollutant,Unit,Average concentration
27009,"Benton County, Minnesota",2016,Ozone,parts per billion,33
27009,"Benton County, Minnesota",2016,PM2.5,micrograms per cubic meter,6.1
27009,"Benton County, Minnesota",2017,Ozone,parts per billion,34
27009,"Benton County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.5
27009,"Benton County, Minnesota",2018,Ozone,parts per billion,36
27009,"Benton County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.9
27009,"Benton County, Minnesota",2019,Ozone,parts per billion,35
27009,"Benton County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.9
27009,"Benton County, Minnesota",2020,Ozone,parts per billion,35
27009,"Benton County, Minnesota",2020,PM2.5,micrograms per cubic meter,6
27009,"Benton County, Minnesota",2021,Ozone,parts per billion,37
27009,"Benton County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.9
27011,"Big Stone County, Minnesota",2008,Ozone,parts per billion,37
27011,"Big Stone County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.8
27011,"Big Stone County, Minnesota",2009,Ozone,parts per billion,35
27011,"Big Stone County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.8
27011,"Big Stone County, Minnesota",2010,Ozone,parts per billion,37
27011,"Big Stone County, Minnesota",2010,PM2.5,micrograms per cubic meter,8.6
27011,"Big Stone County, Minnesota",2011,Ozone,parts per billion,37
27011,"Big Stone County, Minnesota",2011,PM2.5,micrograms per cubic meter,8
27011,"Big Stone County, Minnesota",2012,Ozone,parts per billion,37
27011,"Big Stone County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.7
27011,"Big Stone County, Minnesota",2013,Ozone,parts per billion,38
27011,"Big Stone County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.6
27011,"Big Stone County, Minnesota",2014,Ozone,parts per billion,35
27011,"Big Stone County, Minnesota",2014,PM2.5,micrograms per cubic meter,5.9
27011,"Big Stone County, Minnesota",2015,Ozone,parts per billion,35
27011,"Big Stone County, Minnesota",2015,PM2.5,micrograms per cubic meter,8.1
27011,"Big Stone County, Minnesota",2016,Ozone,parts per billion,34
27011,"Big Stone County, Minnesota",2016,PM2.5,micrograms per cubic meter,6.5
27011,"Big Stone County, Minnesota",2017,Ozone,parts per billion,36
27011,"Big Stone County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.4
27011,"Big Stone County, Minnesota",2018,Ozone,parts per billion,36
27011,"Big Stone County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.7
27011,"Big Stone County, Minnesota",2019,Ozone,parts per billion,38
27011,"Big Stone County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.7
27011,"Big Stone County, Minnesota",2020,Ozone,parts per billion,36
27011,"Big Stone County, Minnesota",2020,PM2.5,micrograms per cubic meter,5.7
27011,"Big Stone County, Minnesota",2021,Ozone,parts per billion,37
27011,"Big Stone County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.6
27013,"Blue Earth County, Minnesota",2008,Ozone,parts per billion,37
27013,"Blue Earth County, Minnesota",2008,PM2.5,micrograms per cubic meter,10.1
27013,"Blue Earth County, Minnesota",2009,Ozone,parts per billion,36
27013,"Blue Earth County, Minnesota",2009,PM2.5,micrograms per cubic meter,9.9
27013,"Blue Earth County, Minnesota",2010,Ozone,parts per billion,38
27013,"Blue Earth County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.6
27013,"Blue Earth County, Minnesota",2011,Ozone,parts per billion,38
27013,"Blue Earth County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.7
27013,"Blue Earth County, Minnesota",2012,Ozone,parts per billion,39
27013,"Blue Earth County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.9
27013,"Blue Earth County, Minnesota",2013,Ozone,parts per billion,38
27013,"Blue Earth County, Minnesota",2013,PM2.5,micrograms per cubic meter,9.2
27013,"Blue Earth County, Minnesota",2014,Ozone,parts per billion,36
27013,"Blue Earth County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.7
27013,"Blue Earth County, Minnesota",2015,Ozone,parts per billion,36
27013,"Blue Earth County, Minnesota",2015,PM2.5,micrograms per cubic meter,8.4
27013,"Blue Earth County, Minnesota",2016,Ozone,parts per billion,35
27013,"Blue Earth County, Minnesota",2016,PM2.5,micrograms per cubic meter,7.7
27013,"Blue Earth County, Minnesota",2017,Ozone,parts per billion,36
27013,"Blue Earth County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.4
27013,"Blue Earth County, Minnesota",2018,Ozone,parts per billion,37
27013,"Blue Earth County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.1
27013,"Blue Earth County, Minnesota",2019,Ozone,parts per billion,36
27013,"Blue Earth County, Minnesota",2019,PM2.5,micrograms per cubic meter,7
27013,"Blue Earth County, Minnesota",2020,Ozone,parts per billion,35
27013,"Blue Earth County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.6
27013,"Blue Earth County, Minnesota",2021,Ozone,parts per billion,38
27013,"Blue Earth County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.6
27015,"Brown County, Minnesota",2008,Ozone,parts per billion,37
27015,"Brown County, Minnesota",2008,PM2.5,micrograms per cubic meter,9.8
27015,"Brown County, Minnesota",2009,Ozone,parts per billion,36
27015,"Brown County, Minnesota",2009,PM2.5,micrograms per cubic meter,9.5
27015,"Brown County, Minnesota",2010,Ozone,parts per billion,38
27015,"Brown County, Minnesota",2010,PM2.5,micrograms per cubic meter,9.3
27015,"Brown County, Minnesota",2011,Ozone,parts per billion,38
27015,"Brown County, Minnesota",2011,PM2.5,micrograms per cubic meter,9.1
27015,"Brown County, Minnesota",2012,Ozone,parts per billion,39
27015,"Brown County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.5
27015,"Brown County, Minnesota",2013,Ozone,parts per billion,38
27015,"Brown County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.8
27015,"Brown County, Minnesota",2014,Ozone,parts per billion,36
27015,"Brown County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.3
27015,"Brown County, Minnesota",2015,Ozone,parts per billion,35
27015,"Brown County, Minnesota",2015,PM2.5,micrograms per cubic meter,8.5
27015,"Brown County, Minnesota",2016,Ozone,parts per billion,35
27015,"Brown County, Minnesota",2016,PM2.5,micrograms per cubic meter,7.9
27015,"Brown County, Minnesota",2017,Ozone,parts per billion,36
27015,"Brown County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.8
27015,"Brown County, Minnesota",2018,Ozone,parts per billion,36
27015,"Brown County, Minnesota",2018,PM2.5,micrograms per cubic meter,7.4
27015,"Brown County, Minnesota",2019,Ozone,parts per billion,37
27015,"Brown County, Minnesota",2019,PM2.5,micrograms per cubic meter,6.5
27015,"Brown County, Minnesota",2020,Ozone,parts per billion,36
27015,"Brown County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.2
27015,"Brown County, Minnesota",2021,Ozone,parts per billion,38
27015,"Brown County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.7
27017,"Carlton County, Minnesota",2008,Ozone,parts per billion,35
27017,"Carlton County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.5
27017,"Carlton County, Minnesota",2009,Ozone,parts per billion,33
27017,"Carlton County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.4
27017,"Carlton County, Minnesota",2010,Ozone,parts per billion,35
27017,"Carlton County, Minnesota",2010,PM2.5,micrograms per cubic meter,7.8
27017,"Carlton County, Minnesota",2011,Ozone,parts per billion,35
27017,"Carlton County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.4
27017,"Carlton County, Minnesota",2012,Ozone,parts per billion,34
27017,"Carlton County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.2
27017,"Carlton County, Minnesota",2013,Ozone,parts per billion,34
27017,"Carlton County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.8
27017,"Carlton County, Minnesota",2014,Ozone,parts per billion,32
27017,"Carlton County, Minnesota",2014,PM2.5,micrograms per cubic meter,6.5
27017,"Carlton County, Minnesota",2015,Ozone,parts per billion,34
27017,"Carlton County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.3
27017,"Carlton County, Minnesota",2016,Ozone,parts per billion,31
27017,"Carlton County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.1
27017,"Carlton County, Minnesota",2017,Ozone,parts per billion,33
27017,"Carlton County, Minnesota",2017,PM2.5,micrograms per cubic meter,5
27017,"Carlton County, Minnesota",2018,Ozone,parts per billion,34
27017,"Carlton County, Minnesota",2018,PM2.5,micrograms per cubic meter,5.3
27017,"Carlton County, Minnesota",2019,Ozone,parts per billion,34
27017,"Carlton County, Minnesota",2019,PM2.5,micrograms per cubic meter,4.6
27017,"Carlton County, Minnesota",2020,Ozone,parts per billion,34
27017,"Carlton County, Minnesota",2020,PM2.5,micrograms per cubic meter,4.3
27017,"Carlton County, Minnesota",2021,Ozone,parts per billion,36
27017,"Carlton County, Minnesota",2021,PM2.5,micrograms per cubic meter,5.4
27019,"Carver County, Minnesota",2008,Ozone,parts per billion,37
27019,"Carver County, Minnesota",2008,PM2.5,micrograms per cubic meter,10.9
27019,"Carver County, Minnesota",2009,Ozone,parts per billion,35
27019,"Carver County, Minnesota",2009,PM2.5,micrograms per cubic meter,10.3
27019,"Carver County, Minnesota",2010,Ozone,parts per billion,37
27019,"Carver County, Minnesota",2010,PM2.5,micrograms per cubic meter,10.2
27019,"Carver County, Minnesota",2011,Ozone,parts per billion,37
27019,"Carver County, Minnesota",2011,PM2.5,micrograms per cubic meter,10.4
27019,"Carver County, Minnesota",2012,Ozone,parts per billion,37
27019,"Carver County, Minnesota",2012,PM2.5,micrograms per cubic meter,10.7
27019,"Carver County, Minnesota",2013,Ozone,parts per billion,37
27019,"Carver County, Minnesota",2013,PM2.5,micrograms per cubic meter,9.8
27019,"Carver County, Minnesota",2014,Ozone,parts per billion,35
