Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
25049,Gas Recovery Systems Inc,55585,Randolph Electric,MA,Norfolk,1,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,2000,6,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55585,Randolph Electric,MA,Norfolk,2,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,2000,6,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55585,Randolph Electric,MA,Norfolk,3,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,2,2000,6,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55586,Halifax Electric,MA,Plymouth,1,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,4,1997,6,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55586,Halifax Electric,MA,Plymouth,2,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,4,1997,6,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55586,Halifax Electric,MA,Plymouth,3,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,4,1997,6,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,1,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,12,1996,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,2,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,12,1996,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,3,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,12,1996,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,4,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,1,2004,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
