_Outcome,_Years,_ZIP,Age group,"Age-adjusted rate per 10,000",Note
ED visits,2017-2021,55014,18+,13.5,
ED visits,2017-2021,55024,18+,14,
ED visits,2017-2021,55442,18+,14.1,
ED visits,2017-2021,55020,18+,14.5,Unstable rate due to small case count
ED visits,2017-2021,55356,18+,14.6,Unstable rate due to small case count
ED visits,2017-2021,55129,18+,14.8,
ED visits,2017-2021,55088,18+,14.9,Unstable rate due to small case count
ED visits,2017-2021,55344,18+,15.1,
ED visits,2017-2021,55397,18+,15.1,Unstable rate due to small case count
ED visits,2017-2021,55005,18+,15.4,
ED visits,2017-2021,55437,18+,15.5,
ED visits,2017-2021,55071,18+,15.6,
ED visits,2017-2021,55016,18+,15.9,
ED visits,2017-2021,55077,18+,15.9,
ED visits,2017-2021,55378,18+,15.9,
ED visits,2017-2021,55359,18+,16.1,
ED visits,2017-2021,55372,18+,16.5,
ED visits,2017-2021,55110,18+,17.1,
ED visits,2017-2021,55438,18+,17.1,
ED visits,2017-2021,55057,18+,17.3,
ED visits,2017-2021,55112,18+,17.3,
ED visits,2017-2021,55113,18+,17.3,
ED visits,2017-2021,55434,18+,17.3,
ED visits,2017-2021,55316,18+,17.6,
ED visits,2017-2021,55122,18+,18.1,
ED visits,2017-2021,55040,18+,18.3,
ED visits,2017-2021,55124,18+,18.3,
ED visits,2017-2021,55375,18+,18.6,
ED visits,2017-2021,55013,18+,19.1,
ED visits,2017-2021,55448,18+,19.1,
ED visits,2017-2021,56071,18+,19.1,
ED visits,2017-2021,55076,18+,19.3,
ED visits,2017-2021,55369,18+,19.5,
ED visits,2017-2021,55435,18+,19.6,
ED visits,2017-2021,55426,18+,20.3,
ED visits,2017-2021,56011,18+,20.6,
ED visits,2017-2021,Minnesota Statewide,18+,21.1,
ED visits,2017-2021,55395,18+,21.1,Unstable rate due to small case count
ED visits,2017-2021,55441,18+,21.3,
ED visits,2017-2021,55306,18+,21.6,
ED visits,2017-2021,55431,18+,21.6,
ED visits,2017-2021,55121,18+,21.8,
ED visits,2017-2021,55417,18+,21.8,
ED visits,2017-2021,55128,18+,22.1,
ED visits,2017-2021,55423,18+,22.3,
ED visits,2017-2021,55425,18+,22.3,
ED visits,2017-2021,55338,18+,23.1,Unstable rate due to small case count
ED visits,2017-2021,55092,18+,23.5,
ED visits,2017-2021,55445,18+,23.5,
ED visits,2017-2021,55427,18+,24,
ED visits,2017-2021,55303,18+,24.8,
ED visits,2017-2021,55055,18+,25,
ED visits,2017-2021,Metro (All ZIP Codes),18+,25.1,
ED visits,2017-2021,55343,18+,25.3,
ED visits,2017-2021,55420,18+,25.3,
ED visits,2017-2021,55413,18+,26,
ED visits,2017-2021,55418,18+,26.1,
ED visits,2017-2021,55025,18+,26.3,
ED visits,2017-2021,55118,18+,27.1,
ED visits,2017-2021,55033,18+,27.3,
ED visits,2017-2021,55075,18+,27.8,
ED visits,2017-2021,55031,18+,28.3,Unstable rate due to small case count
ED visits,2017-2021,55337,18+,28.5,
ED visits,2017-2021,55433,18+,29.1,
ED visits,2017-2021,55401,18+,29.3,
ED visits,2017-2021,55379,18+,29.8,
ED visits,2017-2021,55409,18+,30,
ED visits,2017-2021,55406,18+,31.1,
ED visits,2017-2021,55443,18+,31.1,
ED visits,2017-2021,55414,18+,31.8,
ED visits,2017-2021,55444,18+,33.3,
ED visits,2017-2021,55422,18+,33.5,
ED visits,2017-2021,55119,18+,33.7,
ED visits,2017-2021,55432,18+,35,
