"","...1","...2","ORGID","ORGTYPE","ORGNUMBER","SCHNUMBER","FORMID","GISNAME","MDENAME","ALTNAME","GISADDR","MDEADDR","PUBPRIV","LOCTYPE","GRADERANGE","CLASS","MAGNET","LOCDISTID","LOCDISTNAM","COUNTYCODE","COUNTYNAME","CREATEDT","UPDATEDT","FED_SCHNUM","WEB_URL","YEAR","geometry","within_1mile_pp","schools_in_ej","nearest_pp_id","nearest_pp_dist_m","nearest_pp_dist_mi","zip_code"
"82",82,82,2.40018e+11,"24","0018","000","0018-24","University of Northwestern - St. Paul","University of Northwestern - St. Paul",NA,"3003 Snelling Ave N, Roseville, MN 55113","3003 Snelling Avenue North, Roseville, MN 55113-1598","Private or Nonpublic","Head",NA,NA,"NO",1.0621e+10,"Mounds View",27123,"Ramsey",2007-10-25,2022-05-11,NA,"http://www.unwsp.edu","SY2024-25","c(486616.6714","4987286.747)",FALSE,FALSE,1927,8554.73703913588,"5.31568036532732,""55113"""
"83",83,83,2.40025e+11,"24","0025","000","0025-24","Apostolic Bible Institute","Apostolic Bible Institute",NA,"6944 Hudson Blvd N, Oakdale, MN 55128","6944 Hudson Blvd N, Oakdale, MN 55128","Private or Nonpublic","Head",NA,NA,"NO",1.0622e+10,"North St. Paul-Maplewood Oakdale",27163,"Washington",2007-10-25,2024-09-10,NA,"https://myabi.org/","SY2024-25","c(502706.5356","4977341.2745)",FALSE,FALSE,63231,7506.05147692662,"4.66405574765222,""55128"""
"84",84,84,2.40026e+11,"24","0026","000","0026-24","Luther Seminary","Luther Seminary",NA,"2481 Como Ave, Saint Paul, MN 55108","2481 Como Ave, Saint Paul, MN 55108","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2008-04-01,2024-05-31,NA,"https://www.luthersem.edu/","SY2024-25","c(484387.5687","4981508.606)",FALSE,FALSE,59197,3495.42171772077,"2.17195975848532,""55108"""
"85",85,85,2.40029e+11,"24","0029","000","0029-24","Saint Paul Seminary","Saint Paul Seminary",NA,"2260 Summit Ave, Saint Paul, MN 55105","2260 Summit Ave, Saint Paul, MN 55105","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2007-10-25,2023-10-24,NA,"https://saintpaulseminary.org/","SY2024-25","c(484644.4946","4976295.7079)",FALSE,FALSE,57069,2728.72911734369,"1.69555787921986,""55105"""
"86",86,86,2.4003e+11,"24","0030","000","0030-24","United Theological Seminary","United Theological Seminary of the Twin Cities",NA,"767 Eustis St, Saint Paul, MN 55114","767 Eustis St, Saint Paul, MN 55114","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2007-10-25,2022-04-26,NA,"https://www.unitedseminary.edu/","SY2024-25","c(483902.6468","4978853.7547)",FALSE,TRUE,59197,3378.81736216912,"2.09950499097091,""55114"""
"87",87,87,2.40051e+11,"24","0051","000","0051-24","Dunwoody College of Technology","Dunwoody College of Technology",NA,"818 Dunwoody Blvd, Minneapolis, MN 55403","818 Dunwoody Boulevard, Minneapolis, MN 55403","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-26,2024-05-31,NA,"http://www.dunwoody.edu","SY2024-25","c(477107.9211","4979976.2365)",TRUE,FALSE,10013,1399.64344415359,"0.869700277227675,""55403"""
"88",88,88,2.40053e+11,"24","0053","000","0053-24","Takoda Institute of Higher Education","Takoda Institute of Higher Education",NA,"1845 E Franklin Ave, Minneapolis, MN 55404","1845 E Franklin Ave, Minneapolis, MN 55404","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-25,2023-10-24,NA,"https://www.aioic.org/","SY2024-25","c(480592.7945","4978757.916)",FALSE,TRUE,57665,1881.5809108431,"1.16916307979861,""55404"""
"89",89,89,2.40055e+11,"24","0055","000","0055-24","Summit Academy OIC","Summit Academy Opportunities Industrialization Center",NA,"935 Olson Memorial Highway, Minneapolis, MN 55405","935 Olson Memorial Highway, Minneapolis, MN 55405","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-26,2022-07-11,NA,"https://saoic.org/","SY2024-25","c(476923.1205","4981167.5355)",TRUE,TRUE,10013,972.666870802893,"0.604388675359398,""55405"""
"90",90,90,2.40056e+11,"24","0056","000","0056-24","Crown College","Crown College",NA,"8700 College View Dr, Saint Bonifacius, MN 55375","8700 College View Drive, Saint Bonifacius, MN 55375-9001","Private or Nonpublic","Head",NA,NA,"NO",1.011e+10,"Waconia",27019,"Carver",2007-10-25,2022-03-14,NA,"http://www.crown.edu","SY2024-25","c(441347.7145","4970443.5496)",FALSE,FALSE,61500,4711.51689144022,"2.927608144606,""55375"""
"91",91,91,2.4006e+11,"24","0060","000","0060-24","North Central University","North Central University",NA,"910 Elliot Ave, Minneapolis, MN 55404","910 Elliot Avenue, Minneapolis, MN 55404","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2007-10-25,2022-05-06,NA,"http://www.northcentral.edu","SY2024-25","c(479387.222","4979583.942)",TRUE,TRUE,57665,1504.93769510183,"0.935127254092877,""55404"""
